TOP MOVIES BY YEAR
Source: www.dvdsreleasedates.com
Generated: June 2, 2026
============================================================

TOP MOVIES 2026
----------------------------------------
1. The Super Mario Galaxy Movie (imdb: 6.3, PG)
2. Project Hail Mary (imdb: 8.3, PG-13)
3. Michael (imdb: 7.7, PG-13)
4. The Devil Wears Prada 2 (imdb: 6.6, PG-13)
5. Hoppers (imdb: 7.3, PG)
6. Star Wars: The Mandalorian and Grogu (imdb: 7.0, PG-13)
7. Scream 7 (imdb: 5.5, R)
8. Obsession (imdb: 8.2, R)
9. GOAT (imdb: 6.7, PG)
10. Wuthering Heights (imdb: 6.1, R)
11. Backrooms (imdb: 7.1, R)
12. Mortal Kombat II (imdb: 6.7, R)
13. Send Help (imdb: 6.8, R)
14. The Sheep Detectives (imdb: 7.7, PG)
15. Reminders of Him (imdb: 6.3, PG-13)
16. The Drama (imdb: 7.2, R)
17. Crime 101 (imdb: 6.8, R)
18. Iron Lung (imdb: 6.3, R)
19. Lee Cronin's The Mummy (imdb: 6.2, R)
20. Dhurandhar: The Revenge (imdb: 8.3, NR)
21. Solo Mio (imdb: 6.7, PG)
22. Primate (imdb: 5.8, R)
23. 28 Years Later: The Bone Temple (imdb: 7.2, R)
24. Ready or Not 2: Here I Come (imdb: 6.5, R)
25. Mercy (imdb: 6.2, PG-13)
26. Undertone (imdb: 6.0, R)
27. You, Me & Tuscany (imdb: 6.1, PG-13)
28. I Can Only Imagine 2 (imdb: 7.1, PG)
29. Greenland 2: Migration (imdb: 5.2, PG-13)
30. Hokum (imdb: 7.3, R)
31. Melania (imdb: 1.6, PG)
32. Passenger (imdb: 5.6, R)
33. EPiC: Elvis Presley in Concert (imdb: 8.2, PG-13)
34. Dracula (imdb: 6.2, R)
35. Shelter (imdb: 6.1, R)
36. The Bride (imdb: 5.7, R)
37. They Will Kill You (imdb: 6.3, R)
38. No Other Choice (imdb: 7.5, R)
39. Billie Eilish - Hit Me Hard and Soft: The Tour (imdb: 7.6, PG-13)
40. The Strangers: Chapter 3 (imdb: 4.1, R)
41. Good Luck, Have Fun, Don't Die (imdb: 7.0, R)
42. A Great Awakening (imdb: 6.8, PG-13)
43. How to Make a Killing (imdb: 6.5, R)
44. The Breadwinner (imdb: 6.5, PG)
45. I Love Boosters (imdb: 7.3, R)
46. Pressure (imdb: 7.7, PG-13)
47. In the Grey (imdb: 6.6, R)
48. Return to Silent Hill (imdb: 4.0, R)
49. Animal Farm (imdb: 2.6, PG)
50. Normal (imdb: 6.3, R)
51. Is God Is (imdb: 7.3, R)
52. Deep Water (imdb: 5.9, R)
53. Twenty One Pilots: More Than We Ever Imagined (imdb: 9.3, NR)
54. Pillion (imdb: 6.9, NR)
55. Exit 8 (imdb: 6.5, PG-13)
56. We Bury the Dead (imdb: 5.6, R)
57. Psycho Killer (imdb: 4.7, R)
58. Faces of Death (imdb: 5.9, R)
59. Over Your Dead Body (imdb: 6.4, R)
60. Forbidden Fruits (imdb: 5.2, R)
61. Charlie the Wonderdog (imdb: 5.2, PG)
62. Tuner (imdb: 7.4, R)
63. Busboys (imdb: 4.8, R)
64. Fuze (imdb: 6.2, R)
65. Protector (imdb: 5.2, R)
